2016-01-25 12:50:47,470 : INFO : categ=Yelp, ftype=ConfAll, index=3, rmse=0.1074659240, corr=0.1798297268, pval=0.0000000000, mse=0.0115489248, mae=0.0802642770, likelihood=-12.8974608223, basehood=-12.5068008019
2016-01-25 12:50:58,501 : INFO : categ=Yelp, ftype=STR, index=4, rmse=0.1089027766, corr=0.1116187186, pval=0.0000000000, mse=0.0118598148, mae=0.0812100643, likelihood=-12.6077259728, basehood=-12.2167925637
2016-01-25 12:51:12,543 : INFO : categ=Yelp, ftype=TOPICS_64, index=4, rmse=0.1066253468, corr=0.2327330955, pval=0.0000000000, mse=0.0113689646, mae=0.0794835214, likelihood=-12.5889619504, basehood=-12.2167925637
2016-01-25 12:53:26,829 : INFO : categ=Yelp, ftype=TFIDF, index=4, rmse=0.1101083736, corr=0.2510934962, pval=0.0000000000, mse=0.0121238539, mae=0.0833697931, likelihood=-12.6210105413, basehood=-12.2167925637
2016-01-25 12:53:40,970 : INFO : categ=Yelp, ftype=LIWC, index=4, rmse=0.1066033767, corr=0.2311806154, pval=0.0000000000, mse=0.0113642799, mae=0.0796795231, likelihood=-12.5903745746, basehood=-12.2167925637
2016-01-25 12:54:09,373 : INFO : categ=Yelp, ftype=INQUIRER, index=4, rmse=0.1066696128, corr=0.2450539811, pval=0.0000000000, mse=0.0113784063, mae=0.0795163295, likelihood=-12.5919311281, basehood=-12.2167925637
2016-01-25 12:54:21,336 : INFO : categ=Yelp, ftype=GALC, index=4, rmse=0.1088432498, corr=0.1169340843, pval=0.0000000000, mse=0.0118468530, mae=0.0810179476, likelihood=-12.6082486197, basehood=-12.2167925637
2016-01-25 12:54:22,297 : INFO : categ=Yelp, ftype=ConfAll, index=4, rmse=0.1077993651, corr=0.2044025668, pval=0.0000000000, mse=0.0116207031, mae=0.0805176474, likelihood=-12.6001834978, basehood=-12.2167925637
2016-01-25 12:54:33,085 : INFO : categ=Yelp, ftype=STR, index=5, rmse=0.1113566689, corr=0.0783531086, pval=0.0000000000, mse=0.0124003077, mae=0.0824491579, likelihood=-12.7286108460, basehood=-12.3181568640
2016-01-25 12:54:46,994 : INFO : categ=Yelp, ftype=TOPICS_64, index=5, rmse=0.1086892171, corr=0.2186775186, pval=0.0000000000, mse=0.0118133459, mae=0.0806708362, likelihood=-12.7083839251, basehood=-12.3181568640
