2016-01-20 07:30:03,759 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=32, rmse=0.2401655591, rho=0.2594088884, pval=0.0000000000, mse=0.0576794958, mae=0.1557363417
2016-01-20 07:37:45,410 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=33, rmse=0.2340288916, rho=0.2354455168, pval=0.0000000000, mse=0.0547695221, mae=0.1520445678
2016-01-20 07:45:04,692 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=34, rmse=0.2418425894, rho=0.2359950929, pval=0.0000000000, mse=0.0584878380, mae=0.1563119566
2016-01-20 07:52:27,207 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=35, rmse=0.2413265568, rho=0.2420137958, pval=0.0000000000, mse=0.0582385070, mae=0.1556829568
2016-01-20 07:59:47,190 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=36, rmse=0.2423961280, rho=0.2494467668, pval=0.0000000000, mse=0.0587558829, mae=0.1574424236
2016-01-20 08:07:05,049 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=37, rmse=0.2409221443, rho=0.2564756644, pval=0.0000000000, mse=0.0580434796, mae=0.1567601218
2016-01-20 08:14:19,232 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=38, rmse=0.2415514674, rho=0.2266572534, pval=0.0000000000, mse=0.0583471114, mae=0.1572935886
2016-01-20 08:22:14,483 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=39, rmse=0.2371404140, rho=0.2351039405, pval=0.0000000000, mse=0.0562355760, mae=0.1545954113
2016-01-20 08:30:22,497 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=40, rmse=0.2393591044, rho=0.2567824770, pval=0.0000000000, mse=0.0572927808, mae=0.1544889037
2016-01-20 08:38:10,150 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=41, rmse=0.2421508923, rho=0.2510583476, pval=0.0000000000, mse=0.0586370546, mae=0.1572990484
2016-01-20 08:45:27,154 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=42, rmse=0.2354684910, rho=0.2472189654, pval=0.0000000000, mse=0.0554454103, mae=0.1541758352
2016-01-20 08:52:41,528 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=43, rmse=0.2373334371, rho=0.2342982004, pval=0.0000000000, mse=0.0563271603, mae=0.1544766625
2016-01-20 09:00:26,089 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=44, rmse=0.2398790541, rho=0.2449629681, pval=0.0000000000, mse=0.0575419606, mae=0.1565320332
2016-01-20 09:08:30,393 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=45, rmse=0.2398323724, rho=0.2425124260, pval=0.0000000000, mse=0.0575195668, mae=0.1551293903
2016-01-20 09:16:28,246 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=46, rmse=0.2406290641, rho=0.2415660303, pval=0.0000000000, mse=0.0579023465, mae=0.1556927505
2016-01-20 09:24:24,373 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=47, rmse=0.2380904542, rho=0.2637668027, pval=0.0000000000, mse=0.0566870644, mae=0.1551681884
2016-01-20 09:32:27,443 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=48, rmse=0.2370575421, rho=0.2231370794, pval=0.0000000000, mse=0.0561962783, mae=0.1542100164
2016-01-20 09:40:25,963 : INFO : categ=Home_and_Kitchen, ftype=JointAll, index=49, rmse=0.2428629736, rho=0.2399324786, pval=0.0000000000, mse=0.0589824240, mae=0.1571113444
2016-01-20 09:42:34,716 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=0, rmse=0.2409499505, rho=0.3108416119, pval=0.0000000000, mse=0.0580568786, mae=0.1570271491
2016-01-20 09:44:43,748 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=1, rmse=0.2382729358, rho=0.3271436611, pval=0.0000000000, mse=0.0567739920, mae=0.1543370784
2016-01-20 09:46:53,386 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=2, rmse=0.2354668774, rho=0.2810018193, pval=0.0000000000, mse=0.0554446503, mae=0.1533499769
2016-01-20 09:49:03,305 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=3, rmse=0.2386150365, rho=0.3113291538, pval=0.0000000000, mse=0.0569371356, mae=0.1535079862
2016-01-20 09:51:13,497 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=4, rmse=0.2333629413, rho=0.3233393711, pval=0.0000000000, mse=0.0544582624, mae=0.1507724909
2016-01-20 09:53:22,642 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=5, rmse=0.2399577916, rho=0.3110119270, pval=0.0000000000, mse=0.0575797417, mae=0.1556896977
2016-01-20 09:55:32,787 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=6, rmse=0.2378697911, rho=0.3137455129, pval=0.0000000000, mse=0.0565820375, mae=0.1539709433
2016-01-20 09:57:42,757 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=7, rmse=0.2352284614, rho=0.3208567038, pval=0.0000000000, mse=0.0553324290, mae=0.1512019521
2016-01-20 09:59:53,196 : INFO : categ=Home_and_Kitchen, ftype=JointSemantic, index=8, rmse=0.2402739627, rho=0.3165715244, pval=0.0000000000, mse=0.0577315771, mae=0.1551794293
